,Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Unweighted Normalized Clinical Process of Care Domain Score,Weighted Clinical Process of Care Domain Score,Unweighted Patient Experience of Care Domain Score,Weighted Patient Experience of Care Domain Score,Unweighted Normalized Outcome Domain Score,Weighted Outcome Domain Score,Unweighted Normalized Efficiency Domain Score,Weighted Efficiency Domain Score,Total Performance Score,Location,lat,long
422,40134,ARKANSAS HEART HOSPITAL,1701 S SHACKLEFORD ROAD,Little Rock,AR,72211,PULASKI,98.1818181818,19.636363636400002,88.0,26.4,44.0,13.2,50.0000000000,10.0000000000,69.2363636364,"1701 S SHACKLEFORD ROAD
Little Rock, AR 72211
(34.73753861200049, -92.39446730899965)",34.73753861200049,-92.39446730899965
423,50009,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,Napa,CA,94558,NAPA,60.9090909091,12.1818181818,23.0,6.9,38.0,11.4,50.0000000000,10.0000000000,40.4818181818,"1000 TRANCAS ST
Napa, CA 94558
(38.32351797600046, -122.29621497799968)",38.32351797600046,-122.29621497799968
424,50013,ST HELENA HOSPITAL,10 WOODLAND ROAD,Saint Helena,CA,94574,NAPA,40.9090909091,8.181818181799999,61.0,18.3,44.0,13.2,60.0000000000,12.0000000000,51.681818181800004,"10 WOODLAND ROAD
Saint Helena, CA 94574
(38.542044037000494, -122.47535602899973)",38.542044037000494,-122.47535602899973
425,50017,MERCY GENERAL HOSPITAL,4001 J ST,Sacramento,CA,95819,SACRAMENTO,58.181818181800004,11.6363636364,35.0,10.5,56.0,16.8,30.0000000000,6.0000000000,44.9363636364,"4001 J ST
Sacramento, CA 95819
(38.56945755000049, -121.45268246499973)",38.56945755000049,-121.45268246499973
426,50036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST BOX 1888,Bakersfield,CA,93301,KERN,26.3636363636,5.2727272727,17.0,5.1,50.0,15.0,0.0000000000,0.0000000000,25.3727272727,"420 34TH ST BOX 1888
Bakersfield, CA 93301
(35.39050791000045, -119.00657945099971)",35.39050791000045,-119.00657945099971
427,50038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,San Jose,CA,95128,SANTA CLARA,35.4545454545,7.0909090909,5.0,1.5,42.5,12.75,10.0000000000,2.0000000000,23.340909090900002,"751 SOUTH BASCOM AVENUE
San Jose, CA 95128
(37.31287003200049, -121.93184387799971)",37.31287003200049,-121.93184387799971
428,50076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,San Francisco,CA,94115,SAN FRANCISCO,69.0909090909,13.8181818182,42.0,12.6,85.0,25.5,100.0000000000,20.0000000000,71.9181818182,"2425 GEARY BLVD
San Francisco, CA 94115
(37.782682983000484, -122.44369667899969)",37.782682983000484,-122.44369667899969
429,50100,SHARP MEMORIAL HOSPITAL,7901 FROST ST,San Diego,CA,92123,SAN DIEGO,69.0909090909,13.8181818182,67.0,20.1,54.0,16.2,10.0000000000,2.0000000000,52.1181818182,"7901 FROST ST
San Diego, CA 92123
(32.80026521700046, -117.15520980199972)",32.80026521700046,-117.15520980199972
430,50118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH ST,Manteca,CA,95336,SAN JOAQUIN,32.222222222199996,6.4444444444,22.0,6.6,36.6666666667,11.0,0.0000000000,0.0000000000,24.0444444444,"1205 E NORTH ST
Manteca, CA 95336
(37.8011079690005, -121.19746010899968)",37.8011079690005,-121.19746010899968
431,50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,Monterey,CA,93940,MONTEREY,58.181818181800004,11.6363636364,45.0,13.5,50.0,15.0,30.0000000000,6.0000000000,46.136363636400006,"23625 W R HOLMAN HIGHWAY
Monterey, CA 93940
(36.59566735700048, -121.87999945099972)",36.59566735700048,-121.87999945099972
432,50159,VENTURA COUNTY MEDICAL CENTER,3291 LOMA VISTA RD,Ventura,CA,93003,VENTURA,12.222222222200001,2.4444444444,11.0,3.3,0.0,0.0,20.0000000000,4.0000000000,9.744444444400001,"3291 LOMA VISTA RD
Ventura, CA 93003
(34.27618727900045, -119.25235314599968)",34.27618727900045,-119.25235314599968
433,50238,METHODIST HOSPITAL OF SOUTHERN CA,300 W HUNTINGTON DR,Arcadia,CA,91006,LOS ANGELES,56.363636363599994,11.2727272727,29.0,8.7,78.0,23.4,0.0000000000,0.0000000000,43.372727272700004,"300 W HUNTINGTON DR
Arcadia, CA 91006
(34.14011275500047, -118.0239089099997)",34.14011275500047,-118.0239089099997
434,50276,CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA AVE,Martinez,CA,94553,CONTRA COSTA,28.8888888889,5.7777777778,5.0,1.5,55.0,16.5,60.0000000000,12.0000000000,35.777777777800004,"2500 ALHAMBRA AVE
Martinez, CA 94553
(38.00635701500045, -122.13095356699972)",38.00635701500045,-122.13095356699972
435,50298,BARSTOW COMMUNITY HOSPITAL,820 E MOUNTAIN VIEW STREET,Barstow,CA,92311,SAN BERNARDINO,90.0,18.0,33.0,9.9,50.0,15.0,70.0000000000,14.0000000000,56.9,"820 E MOUNTAIN VIEW STREET
Barstow, CA 92311
(34.89352415300044, -117.0168791319997)",34.89352415300044,-117.0168791319997
436,50320,ALAMEDA COUNTY MEDICAL CENTER,1411 E 31ST ST,Oakland,CA,94602,ALAMEDA,19.0,3.8,4.0,1.2,80.0,24.0,0.0000000000,0.0000000000,29.0,"1411 E 31ST ST
Oakland, CA 94602
(37.799253948000455, -122.23138414499971)",37.799253948000455,-122.23138414499971
437,50327,LOMA LINDA UNIVERSITY MEDICAL CENTER,11234 ANDERSON ST,Loma Linda,CA,92354,SAN BERNARDINO,39.0909090909,7.8181818182,19.0,5.7,26.0,7.8,10.0000000000,2.0000000000,23.318181818200003,"11234 ANDERSON ST
Loma Linda, CA 92354
(34.04915047600048, -117.26115250599969)",34.04915047600048,-117.26115250599969
438,100189,NORTHWEST MEDICAL CENTER,2801 N STATE RD 7,Margate,FL,33063,BROWARD,84.54545454550001,16.9090909091,15.0,4.5,40.0,12.0,0.0000000000,0.0000000000,33.4090909091,"2801 N STATE RD 7
Margate, FL 33063
(26.26269022800045, -80.20175053699967)",26.26269022800045,-80.20175053699967
439,100246,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,1700 S 23RD ST,Fort Pierce,FL,34950,ST. LUCIE,94.5454545455,18.9090909091,14.0,4.2,56.0,16.8,0.0000000000,0.0000000000,39.9090909091,"1700 S 23RD ST
Fort Pierce, FL 34950
(27.431770007000466, -80.34731945099963)",27.431770007000466,-80.34731945099963
440,100266,GULF BREEZE HOSPITAL,1110 GULF BREEZE PKWY,Gulf Breeze,FL,32561,SANTA ROSA,78.8888888889,15.777777777799999,72.0,21.6,60.0,18.0,10.0000000000,2.0000000000,57.3777777778,"1110 GULF BREEZE PKWY
Gulf Breeze, FL 32561
(30.35867758900048, -87.15681756299966)",30.35867758900048,-87.15681756299966
441,100286,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,6101 PINE RIDGE ROAD,Naples,FL,34119,COLLIER,41.0,8.2,19.0,5.7,62.0,18.6,20.0000000000,4.0000000000,36.5,"6101 PINE RIDGE ROAD
Naples, FL 34119
(26.211797200000433, -81.73084692399965)",26.211797200000433,-81.73084692399965
442,110003,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC",1900 TEBEAU STREET,Waycross,GA,31501,WARE,38.0,7.6,48.0,14.4,70.0,21.0,0.0000000000,0.0000000000,43.0,"1900 TEBEAU STREET
Waycross, GA 31501
(31.22601354000045, -82.34916085199967)",31.22601354000045,-82.34916085199967
443,110015,TANNER MEDICAL CENTER VILLA RICA,601 DALLAS HIGHWAY,Villa Rica,GA,30180,CARROLL,53.75,10.75,57.0,17.1,20.0,6.0,40.0000000000,8.0000000000,41.85,"601 DALLAS HIGHWAY
Villa Rica, GA 30180
(33.74420251200047, -84.91870050299968)",33.74420251200047,-84.91870050299968
444,110016,WEST GEORGIA MEDICAL CENTER,1514 VERNON ROAD,Lagrange,GA,30240,TROUP,69.0,13.8,57.0,17.1,62.0,18.6,30.0000000000,6.0000000000,55.5,"1514 VERNON ROAD
Lagrange, GA 30240
(33.03202404600046, -85.05583101099967)",33.03202404600046,-85.05583101099967
445,110043,ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,Savannah,GA,31419,CHATHAM,70.9090909091,14.1818181818,46.0,13.8,40.0,12.0,10.0000000000,2.0000000000,41.9818181818,"11705 MERCY BOULEVARD
Savannah, GA 31419
(31.985432182000466, -81.15294189199966)",31.985432182000466,-81.15294189199966
446,110045,BARROW REGIONAL MEDICAL CENTER,316 NORTH BROAD STREET,Winder,GA,30680,BARROW,36.6666666667,10.4761904762,20.0,8.5714285714,,,40.0000000000,11.4285714286,30.4761904762,"316 NORTH BROAD STREET
Winder, GA 30680
(34.00847147100046, -83.70677403699966)",34.00847147100046,-83.70677403699966
447,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,Atlanta,GA,30308,FULTON,42.7272727273,8.5454545455,38.0,11.4,78.0,23.4,10.0000000000,2.0000000000,45.345454545500004,"550 PEACHTREE ST NE
Atlanta, GA 30308
(33.76952665500045, -84.38517962799966)",33.76952665500045,-84.38517962799966
448,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,Atlanta,GA,30342,FULTON,15.4545454545,3.0909090909,39.0,11.7,30.0,9.0,30.0000000000,6.0000000000,29.7909090909,"5665 PEACHTREE DUNWOODY ROAD
Atlanta, GA 30342
(33.90823678100048, -84.35184213799965)",33.90823678100048,-84.35184213799965
449,60011,DENVER HEALTH MEDICAL CENTER,777 BANNOCK ST,Denver,CO,80204,DENVER,34.0,6.8,24.0,7.2,25.0,7.5,60.0000000000,12.0000000000,33.5,"777 BANNOCK ST
Denver, CO 80204
(39.7280031680005, -104.99030296099966)",39.7280031680005,-104.99030296099966
450,60024,UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT,12605 EAST 16TH AVENUE,Aurora,CO,80045,ADAMS,34.5454545455,6.9090909091,36.0,10.8,30.0,9.0,20.0000000000,4.0000000000,30.7090909091,"12605 EAST 16TH AVENUE
Aurora, CO 80045
(39.741399996000496, -104.84208914199968)",39.741399996000496,-104.84208914199968
451,60027,BOULDER COMMUNITY HOSPITAL,1100 BALSAM AVENUE,Boulder,CO,80304,BOULDER,28.181818181799997,5.6363636364,41.0,12.3,50.0,15.0,20.0000000000,4.0000000000,36.936363636399996,"1100 BALSAM AVENUE
Boulder, CO 80304
(40.02670342100049, -105.28326139299969)",40.02670342100049,-105.28326139299969
452,60028,EXEMPLA SAINT JOSEPH HOSPITAL,1835 FRANKLIN ST,Denver,CO,80218,DENVER,54.5454545455,10.909090909100001,48.0,14.4,70.0,21.0,60.0000000000,12.0000000000,58.3090909091,"1835 FRANKLIN ST
Denver, CO 80218
(39.74491060000048, -104.96845684999971)",39.74491060000048,-104.96845684999971
453,60034,SWEDISH MEDICAL CENTER,501 E HAMPDEN AVENUE,Englewood,CO,801132702,ARAPAHOE,69.0909090909,13.8181818182,20.0,6.0,24.0,7.2,0.0000000000,0.0000000000,27.018181818200002,"501 E HAMPDEN AVENUE
Englewood, CO 801132702
(39.65319818500046, -104.98121145699969)",39.65319818500046,-104.98121145699969
454,60049,YAMPA VALLEY MEDICAL CENTER,1024 CENTRAL PARK DR,Steamboat Springs,CO,80487,ROUTT,40.0,11.4285714286,83.0,35.5714285714,,,40.0000000000,11.4285714286,58.428571428599994,"1024 CENTRAL PARK DR
Steamboat Springs, CO 80487
(40.46218644100048, -106.81497232599969)",40.46218644100048,-106.81497232599969
455,60054,COMMUNITY HOSPITAL,2021 N 12TH ST,Grand Junction,CO,81501,MESA,36.6666666667,7.333333333300001,49.0,14.7,45.0,13.5,30.0000000000,6.0000000000,41.5333333333,"2021 N 12TH ST
Grand Junction, CO 81501
(39.08593100000047, -108.5523863039997)",39.08593100000047,-108.5523863039997
456,60064,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,2525 S DOWNING ST,Denver,CO,80210,DENVER,50.0,10.0,41.0,12.3,32.5,9.75,0.0000000000,0.0000000000,32.05,"2525 S DOWNING ST
Denver, CO 80210
(39.67121065400045, -104.9735165189997)",39.67121065400045,-104.9735165189997
457,70019,"MILFORD HOSPITAL, INC",300 SEASIDE AVENUE,Milford,CT,06460,NEW HAVEN,67.7777777778,13.5555555556,56.0,16.8,70.0,21.0,0.0000000000,0.0000000000,51.355555555600006,"300 SEASIDE AVENUE
Milford, CT 06460
(41.21662106600047, -73.06403647299965)",41.21662106600047,-73.06403647299965
458,70028,ST VINCENT'S MEDICAL CENTER,2800 MAIN ST,Bridgeport,CT,06606,FAIRFIELD,55.4545454545,11.090909090899999,23.0,6.9,36.0,10.8,0.0000000000,0.0000000000,28.7909090909,"2800 MAIN ST
Bridgeport, CT 06606
(41.200565962000496, -73.20287643199964)",41.200565962000496,-73.20287643199964
459,100002,BETHESDA  HOSPITAL EAST,2815 S SEACREST BLVD,Boynton Beach,FL,33435,PALM BEACH,30.909090909099998,6.1818181818,22.0,6.6,46.0,13.8,0.0000000000,0.0000000000,26.5818181818,"2815 S SEACREST BLVD
Boynton Beach, FL 33435
(26.504047177000473, -80.06872536299966)",26.504047177000473,-80.06872536299966
460,100022,JACKSON MEMORIAL HOSPITAL,1611 NW 12TH AVE,Miami,FL,33136,DADE,61.818181818199996,12.3636363636,12.0,3.6,12.0,3.6,10.0000000000,2.0000000000,21.5636363636,"1611 NW 12TH AVE
Miami, FL 33136
(25.790629210000475, -80.21491268299968)",25.790629210000475,-80.21491268299968
461,100052,WINTER HAVEN HOSPITAL,200 AVE F NE,Winter Haven,FL,33881,POLK,39.0909090909,7.8181818182,31.0,9.3,26.0,7.8,0.0000000000,0.0000000000,24.9181818182,"200 AVE F NE
Winter Haven, FL 33881
(28.02766332900046, -81.72599007499969)",28.02766332900046,-81.72599007499969
462,100053,HIALEAH HOSPITAL,651 E 25TH ST,Hialeah,FL,33013,DADE,51.111111111099994,10.222222222200001,20.0,6.0,62.0,18.6,0.0000000000,0.0000000000,34.8222222222,"651 E 25TH ST
Hialeah, FL 33013
(25.84493852200046, -80.26909219099963)",25.84493852200046,-80.26909219099963
463,100067,ST ANTHONYS HOSPITAL,1200 SEVENTH AVE N,Saint Petersburg,FL,33705,PINELLAS,40.0,8.0,30.0,9.0,40.0,12.0,0.0000000000,0.0000000000,29.0,"1200 SEVENTH AVE N
Saint Petersburg, FL 33705
(27.77930440700044, -82.65085999999968)",27.77930440700044,-82.65085999999968
464,140145,ST JOSEPHS HOSPITAL,9515 HOLY CROSS LN,Breese,IL,62230,CLINTON,88.8888888889,25.396825396799997,99.0,42.4285714286,,,40.0000000000,11.4285714286,79.253968254,"9515 HOLY CROSS LN
Breese, IL 62230
(38.62518266000046, -89.52441944699967)",38.62518266000046,-89.52441944699967
465,140162,ST JOSEPH MEDICAL CENTER,2200 E WASHINGTON,Bloomington,IL,61701,MCLEAN,75.45454545449999,15.090909090899999,71.0,21.3,68.0,20.4,30.0000000000,6.0000000000,62.7909090909,"2200 E WASHINGTON
Bloomington, IL 61701
(40.48005861100046, -88.95425920299965)",40.48005861100046,-88.95425920299965
466,140181,SOUTH SHORE HOSPITAL,8012 SOUTH CRANDON AVENUE,Chicago,IL,60617,COOK,45.5555555556,9.1111111111,12.0,3.6,57.5,17.25,0.0000000000,0.0000000000,29.961111111100003,"8012 SOUTH CRANDON AVENUE
Chicago, IL 60617
(41.74960144400046, -87.56868927899967)",41.74960144400046,-87.56868927899967
467,140184,HEARTLAND REGIONAL MEDICAL CENTER,3333 W DE YOUNG,Marion,IL,62959,WILLIAMSON,66.3636363636,13.2727272727,33.0,9.9,40.0,12.0,0.0000000000,0.0000000000,35.1727272727,"3333 W DE YOUNG
Marion, IL 62959
(37.744886609000446, -88.9940508419997)",37.744886609000446,-88.9940508419997
468,140206,NORWEGIAN-AMERICAN HOSPITAL,1044 N FRANCISCO AVE,Chicago,IL,60622,COOK,37.777777777800004,7.5555555556,27.0,8.1,80.0,24.0,0.0000000000,0.0000000000,39.655555555599996,"1044 N FRANCISCO AVE
Chicago, IL 60622
(41.89982395800047, -87.69929750299968)",41.89982395800047,-87.69929750299968
469,140250,ADVOCATE SOUTH SUBURBAN HOSPITAL,17800 S KEDZIE AVE,Hazel Crest,IL,60429,COOK,75.0,15.0,34.0,10.2,64.0,19.2,0.0000000000,0.0000000000,44.4,"17800 S KEDZIE AVE
Hazel Crest, IL 60429
(41.565614318000485, -87.69434307399968)",41.565614318000485,-87.69434307399968
470,140251,PRESENCE OUR LADY OF THE RESURRECTION MED CTR,5645 W ADDISON,Chicago,IL,60634,COOK,27.0,5.4,29.0,8.7,32.0,9.6,0.0000000000,0.0000000000,23.7,"5645 W ADDISON
Chicago, IL 60634
(41.94584115700047, -87.76797045899968)",41.94584115700047,-87.76797045899968
471,150015,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,301 W HOMER ST,Michigan City,IN,46360,LA PORTE,90.9090909091,18.1818181818,41.0,12.3,28.0,8.4,0.0000000000,0.0000000000,38.8818181818,"301 W HOMER ST
Michigan City, IN 46360
(41.70627746200046, -86.89968817999966)",41.70627746200046,-86.89968817999966
472,150022,FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,1710 LAFAYETTE RD,Crawfordsville,IN,47933,MONTGOMERY,36.6666666667,7.333333333300001,73.0,21.9,43.3333333333,13.0,70.0000000000,14.0000000000,56.2333333333,"1710 LAFAYETTE RD
Crawfordsville, IN 47933
(40.063448388000495, -86.90833657799965)",40.063448388000495,-86.90833657799965
473,150030,HENRY COUNTY MEMORIAL HOSPITAL,1000 N 16TH ST,New Castle,IN,47362,HENRY,67.7777777778,13.5555555556,74.0,22.2,50.0,15.0,20.0000000000,4.0000000000,54.755555555600004,"1000 N 16TH ST
New Castle, IN 47362
(39.94117415800048, -85.36500914199968)",39.94117415800048,-85.36500914199968
474,150038,INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC,2209 JOHN R WOODEN DR,Martinsville,IN,46151,MORGAN,,,59.0,22.125,36.6666666667,13.75,40.0000000000,10.0000000000,45.875,"2209 JOHN R WOODEN DR
Martinsville, IN 46151
(39.42441147900047, -86.40591468099967)",39.42441147900047,-86.40591468099967
475,150076,SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH,1915 LAKE AVE,Plymouth,IN,46563,MARSHALL,92.22222222219999,18.444444444400002,44.0,13.2,25.0,7.5,10.0000000000,2.0000000000,41.1444444444,"1915 LAKE AVE
Plymouth, IN 46563
(41.33556925400046, -86.33057780899964)",41.33556925400046,-86.33057780899964
476,110184,WELLSTAR DOUGLAS HOSPITAL,8954 HOSPITAL DRIVE,Douglasville,GA,30134,DOUGLAS,62.0,12.4,55.0,16.5,80.0,24.0,30.0000000000,6.0000000000,58.9,"8954 HOSPITAL DRIVE
Douglasville, GA 30134
(33.73847916700049, -84.73317021599968)",33.73847916700049,-84.73317021599968
477,120007,KUAKINI MEDICAL CENTER,347 NORTH KUAKINI STREET,Honolulu,HI,96817,HONOLULU,58.181818181800004,11.6363636364,19.0,5.7,40.0,12.0,40.0000000000,8.0000000000,37.3363636364,"347 NORTH KUAKINI STREET
Honolulu, HI 96817
(21.32237182400047, -157.85638077199974)",21.32237182400047,-157.85638077199974
478,130003,ST JOSEPH REGIONAL MEDICAL CENTER,415 SIXTH STREET,Lewiston,ID,83501,NEZ PERCE,39.0,7.8,38.0,11.4,34.0,10.2,10.0000000000,2.0000000000,31.4,"415 SIXTH STREET
Lewiston, ID 83501
(46.41639991800048, -117.0249693019997)",46.41639991800048,-117.0249693019997
479,130014,WEST VALLEY MEDICAL CENTER,1717 ARLINGTON STREET,Caldwell,ID,83605,CANYON,68.8888888889,13.777777777799999,42.0,12.6,80.0,24.0,40.0000000000,8.0000000000,58.3777777778,"1717 ARLINGTON STREET
Caldwell, ID 83605
(43.65436888400046, -116.69558147899971)",43.65436888400046,-116.69558147899971
480,140001,GRAHAM HOSPITAL ASSOCIATION,210 WEST WALNUT STREET,Canton,IL,61520,FULTON,27.7777777778,5.5555555556,48.0,14.4,33.3333333333,10.0,10.0000000000,2.0000000000,31.9555555556,"210 WEST WALNUT STREET
Canton, IL 61520
(40.55329467200045, -90.03931828399965)",40.55329467200045,-90.03931828399965
481,140013,PROCTOR HOSPITAL,5409 N KNOXVILLE AVE,Peoria,IL,61614,PEORIA,39.0909090909,7.8181818182,27.0,8.1,58.0,17.4,20.0000000000,4.0000000000,37.3181818182,"5409 N KNOXVILLE AVE
Peoria, IL 61614
(40.7523052570005, -89.59329130199967)",40.7523052570005,-89.59329130199967
482,140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,Chicago,IL,60608,COOK,44.5454545455,8.9090909091,38.0,11.4,27.5,8.25,0.0000000000,0.0000000000,28.5590909091,"15TH STREET AT CALIFORNIA
Chicago, IL 60608
(41.851386009000464, -87.66607919199964)",41.851386009000464,-87.66607919199964
483,140054,MACNEAL  HOSPITAL,3249 SOUTH OAK PARK AVENUE,Berwyn,IL,60402,COOK,70.9090909091,14.1818181818,19.0,5.7,48.0,14.4,0.0000000000,0.0000000000,34.2818181818,"3249 SOUTH OAK PARK AVENUE
Berwyn, IL 60402
(41.83226333300047, -87.79274714399969)",41.83226333300047,-87.79274714399969
484,140062,PALOS COMMUNITY HOSPITAL,12251 SOUTH 80TH AVENUE,Palos Heights,IL,60463,COOK,64.54545454550001,12.909090909100001,34.0,10.2,76.0,22.8,0.0000000000,0.0000000000,45.9090909091,"12251 SOUTH 80TH AVENUE
Palos Heights, IL 60463
(41.66835360300047, -87.81587795499968)",41.66835360300047,-87.81587795499968
485,140084,VISTA MEDICAL CENTER EAST,1324 NORTH SHERIDAN ROAD,Waukegan,IL,60085,LAKE,80.9090909091,16.1818181818,27.0,8.1,36.0,10.8,10.0000000000,2.0000000000,37.081818181799996,"1324 NORTH SHERIDAN ROAD
Waukegan, IL 60085
(42.37892888400046, -87.83118473399969)",42.37892888400046,-87.83118473399969
486,140127,ADVOCATE BROMENN MEDICAL CENTER,1304 FRANKLIN AVENUE,Normal,IL,61761,MCLEAN,57.2727272727,11.4545454545,57.0,17.1,27.5,8.25,20.0000000000,4.0000000000,40.8045454545,"1304 FRANKLIN AVENUE
Normal, IL 61761
(40.49731664100045, -88.99149970299965)",40.49731664100045,-88.99149970299965
487,60114,PARKER ADVENTIST HOSPITAL,9395 CROWN CREST BLVD,Parker,CO,80138,DOUGLAS,57.0,11.4,41.0,12.3,13.333333333299999,4.0,0.0000000000,0.0000000000,27.7,"9395 CROWN CREST BLVD
Parker, CO 80138
(39.54955851700049, -104.76922405699969)",39.54955851700049,-104.76922405699969
488,50561,KAISER FOUNDATION HOSPITAL - WEST LA,6041 CADILLAC AVE,Los Angeles,CA,90034,LOS ANGELES,75.55555555560001,15.1111111111,36.0,10.8,45.0,13.5,40.0000000000,8.0000000000,47.4111111111,"6041 CADILLAC AVE
Los Angeles, CA 90034
(34.037497450000444, -118.37429245999971)",34.037497450000444,-118.37429245999971
489,100142,JACKSON HOSPITAL,4250 HOSPITAL DR,Marianna ,FL,32446,JACKSON,30.0,6.0,68.0,20.4,33.3333333333,10.0,10.0000000000,2.0000000000,38.4,"4250 HOSPITAL DR
Marianna, FL 32446
(30.786336262000475, -85.24125947899967)",30.786336262000475,-85.24125947899967
490,190128,WOMAN'S HOSPITAL,100 WOMAN'S WAY,Baton Rouge,LA,70817,EAST BATON ROUGE,72.0,14.4,63.0,18.9,40.0,12.0,40.0000000000,8.0000000000,53.3,"100 WOMAN'S WAY
Baton Rouge, LA 70817
(30.385250355000437, -91.03805616399967)",30.385250355000437,-91.03805616399967
491,450820,METHODIST SUGAR LAND HOSPITAL,16655 SOUTHWEST FREEWAY,Sugar Land,TX,77479,FORT BEND,52.7272727273,10.5454545455,40.0,12.0,76.0,22.8,10.0000000000,2.0000000000,47.345454545500004,"16655 SOUTHWEST FREEWAY
Sugar Land, TX 77479
(29.591093927000486, -95.63091452299966)",29.591093927000486,-95.63091452299966
492,490033,WARREN MEMORIAL HOSPITAL,1000 NORTH SHENANDOAH AVE,Front Royal,VA,22630,WARREN,84.44444444439999,16.888888888900002,34.0,10.2,46.6666666667,14.0,90.0000000000,18.0000000000,59.0888888889,"1000 NORTH SHENANDOAH AVE
Front Royal, VA 22630
(38.93001147400048, -78.19890587599963)",38.93001147400048,-78.19890587599963
493,510030,DAVIS MEMORIAL HOSPITAL,PO BOX 1484,Elkins,WV,26241,RANDOLPH,61.111111111099994,12.222222222200001,42.0,12.6,60.0,18.0,80.0000000000,16.0000000000,58.822222222200004,"PO BOX 1484
Elkins, WV 26241
(38.92339977300048, -79.85198654099963)",38.92339977300048,-79.85198654099963
494,280040,THE NEBRASKA METHODIST HOSPITAL,8303 DODGE ST,Omaha,NE,68114,DOUGLAS,42.7272727273,8.5454545455,43.0,12.9,42.0,12.6,0.0000000000,0.0000000000,34.0454545455,"8303 DODGE ST
Omaha, NE 68114
(41.25964265900046, -96.04160057399969)",41.25964265900046,-96.04160057399969
495,280061,REGIONAL WEST MEDICAL CENTER,4021 AVE B,Scottsbluff,NE,69361,SCOTTS BLUFF,34.4444444444,6.8888888888999995,30.0,9.0,14.0,4.2,20.0000000000,4.0000000000,24.088888888899998,"4021 AVE B
Scottsbluff, NE 69361
(41.88671002700045, -103.66578577699966)",41.88671002700045,-103.66578577699966
496,150101,PARKVIEW WHITLEY HOSPITAL,1260 E SR 205,Columbia City,IN,46725,WHITLEY,76.25,15.25,71.0,21.3,35.0,10.5,80.0000000000,16.0000000000,63.05,"1260 E SR 205
Columbia City, IN 46725
(41.16006701900045, -85.46694871299968)",41.16006701900045,-85.46694871299968
497,150104,WITHAM HEALTH SERVICES,2605 N LEBANON ST,Lebanon,IN,46052,BOONE,41.1111111111,8.222222222200001,65.0,19.5,40.0,12.0,30.0000000000,6.0000000000,45.7222222222,"2605 N LEBANON ST
Lebanon, IN 46052
(40.07732903600049, -86.47528381199965)",40.07732903600049,-86.47528381199965
498,150133,KOSCIUSKO COMMUNITY HOSPITAL,2101 E DUBOIS DR,Warsaw,IN,46580,KOSCIUSKO,75.55555555560001,15.1111111111,39.0,11.7,50.0,15.0,30.0000000000,6.0000000000,47.8111111111,"2101 E DUBOIS DR
Warsaw, IN 46580
(41.24642829200047, -85.82832074699968)",41.24642829200047,-85.82832074699968
499,160008,KEOKUK AREA HOSPITAL,1600 MORGAN STREET,Keokuk,IA,52632,LEE,12.222222222200001,2.4444444444,68.0,20.4,26.6666666667,8.0,10.0000000000,2.0000000000,32.844444444400004,"1600 MORGAN STREET
Keokuk, IA 52632
(40.407035161000465, -91.38822771199966)",40.407035161000465,-91.38822771199966
500,160016,TRINITY REGIONAL MEDICAL CENTER,802 KENYON RD,Fort Dodge,IA,50501,WEBSTER,43.0,8.6,48.0,14.4,22.5,6.75,30.0000000000,6.0000000000,35.75,"802 KENYON RD
Fort Dodge, IA 50501
(42.4924796950005, -94.1899432029997)",42.4924796950005,-94.1899432029997
501,160047,METHODIST JENNIE EDMUNDSON,933 EAST PIERCE STREET,Council Bluffs,IA,51503,POTTAWATTAMIE,48.0,9.6,55.0,16.5,40.0,12.0,20.0000000000,4.0000000000,42.1,"933 EAST PIERCE STREET
Council Bluffs, IA 51503
(41.26903836500048, -95.83533867099965)",41.26903836500048,-95.83533867099965
